rank,country,events,pct_of_total
1,The Netherlands,1579555,14.23%
2,Indonesia,1308487,11.79%
3,Germany,1308410,11.79%
4,United States,1231291,11.10%
5,Bulgaria,723627,6.52%
6,Hong Kong,563613,5.08%
7,Canada,417574,3.76%
8,Singapore,323633,2.92%
9,India,306532,2.76%
10,South Korea,291989,2.63%
11,Vietnam,257708,2.32%
12,Brazil,233726,2.11%
13,France,213529,1.92%
14,Argentina,169876,1.53%
15,Romania,140835,1.27%
16,Taiwan,127864,1.15%
17,Mexico,115841,1.04%
18,Belgium,102799,0.93%
19,Kazakhstan,81902,0.74%
20,Kenya,74033,0.67%
21,United Kingdom,72774,0.66%
22,Russia,67659,0.61%
23,Sweden,67601,0.61%
24,Nigeria,58413,0.53%
25,Colombia,56252,0.51%
